BTR_FP_WPAttack_Weapon,Salvage Share,N,Divisor
Weapon_MachineGun_TwinMachineGun_1-VMI,Weapon,1,6
Weapon_MachineGun_MachineGun_0-STOCK,Weapon,1,6
Weapon_MachineGun_MachineGun_2-Brigadier,Weapon,1,5
Weapon_PPC_PPC_0-STOCK,Weapon,1,3
Weapon_PPC_PPC_2-Ceres_Arms,Weapon,1,2
Weapon_Laser_MediumLaser_1-ExoStar,Weapon,1,4
Weapon_Laser_MediumLaser_1-Magna,Weapon,1,4
Weapon_Laser_MediumLaser_1-Intek,Weapon,1,4
Weapon_Laser_MediumLaser_3-Starflash,Weapon,1,3
Weapon_Laser_LargeLaser_3-Starflash,Weapon,1,3
Weapon_Laser_LargeLaser_3-ExoStar,Weapon,1,4
Weapon_Laser_LargeLaser_1-Starflash,Weapon,1,5
Weapon_Laser_LargeLaser_3-Magna,Weapon,1,3
Weapon_SRM_SRM6_2-Lockheed,Weapon,1,6
Weapon_SRM_SRM4_3-Holly,Weapon,1,4
Weapon_SRM_SRM6_3-Irian,Weapon,1,4
